extra1,lifestyle,0.3,AZIENDA AGRICOLA LA MADONNINA,10.280828,44.659442,L'agriturismo sorge ai piedi del Castello quattrocentesco di Torrechiara e davanti alla Badia Benedettina con un' estensione di 25 ettari coltivati prevalentemente a vigneti, tra cui la Termarina antico uva portata secondo la leggenda da Corinto al tempo delle Crociate. L'antico fienile datato 1906 ospita otto camere con pavimenti in legno, travi a vista e alle finestre le storiche gelosie. L'offerta gastronomica a disposizione del cliente vanta prodotti tipici della zona e piatti tradizionali.
extra2,lifestyle,0.3,Agriturismo Il Brugnolo,10.68138,44.61968,Situato nella zona pedecollinare tra Reggio e Modena, è una tipica casa contadina del 1800 in pietra a vista, circondata da un grande parco, campi e vigneti. Dispone di 3   appartamenti nel casale, di cui uno accessibile a sedie a rotelle, e 4 monolocali nella nuova struttura realizzata sul retro
extra3,lifestyle,0.3,eGO eBIKE,11.0541565,44.6756241,Noleggio di biciclette, tradizionali e a pedalata assistita, con consegna e ritiro a domicilio (stazione, Hotel, ecc). Itinerari preconfezionati alla scoperta delle eccellenze di Modena e Provincia sia in libertà che guidati, in collaborazione con produttori ed attività commerciali della zona.
extra4,lifestyle,0.3,Verde Natura srl,10.8809867,44.79368059999999,Tour operator dal 1985, specializzato nell'organizzazione di facili vacanze in bici, viaggi in bicicletta, bici e barca, trekking, Walking, per individuali, gruppi, famiglie, tour in libertà e con accompagnatore.
extra5,lifestyle,0.3,RICCIONE TERME SPA,12.670958,43.996343,Riccione Terme propone bagni sulfurei con il mare e il sole come scenario.
extra6,lifestyle,0.3,PERLE D'ACQUA PARK,12.6734329,43.9942396,Parco del Benessere Termale all'aperto con piscine, vasche colorate, percorsi rivitalizzanti con acqua termale, area bimbi attrezzata
extra7,lifestyle,0.3,BikeinBO SAS di Veronica Contavalli & C.,11.3448423,44.5019187,organizzazione di Bike Tour
extra8,lifestyle,0.3,LIBRERIA ARIOSTO di Sartori Roberto,10.6304507,44.7003569,La libreria Ariosto è da oltre 50 anni il riferimento per i testi legali
extra9,lifestyle,0.3,Ditta individuale Santolini Andrea,11.3512433,44.49246309999999, torre degli Asinelli Bologna
extra10,lifestyle,0.3,Antica Acetaia Villa Bianca di Claudio Biancardi,10.9752622,44.609265,L’Antica Acetaia Villa Bianca produce esclusivamente Aceto Balsamico Tradizionale di Modena DOP nelle due tipologie previste dal disciplinare: 12 anni di invecchiamento e 25 anni (Extravecchio); All’interno dell’Acetaia
extra11,lifestyle,0.3,Il Falco Pellegrino - Locanda del Castello di Sarzano - Enoteca Il vecchio borgo,10.49036,44.51987,Il Castello di Sarzano è un bene culturale
extra12,lifestyle,0.3,Storica Bottega di Via dei Tintori,10.92719,44.64426,Rivendita spirits. Cioccolato. Aceto balsamico. Lambrusco. Selezione birre. Insignita della targa “Bottega Storica”. 
extra13,lifestyle,0.3,I Picari Food&Wine - I Picari s.r.l.,10.9282517,44.6437141,Degustazione vini e salumi. Ristorazione rapida. Aperitivi
extra14,lifestyle,0.3,Kaffeina - Kaffeina di Gualtieri Monica s.n.c.,10.9286278,44.6435199,Caffè. Colazioni. Pranzo
extra15,lifestyle,0.3,Caffè dell’Università - s.a.s. di Zagni Lorena e C.,10.9264968,44.6436247,Caffè. Colazioni. Pranzo
extra16,lifestyle,0.3,Caffetteria del Borgo - di Bergamini Katia e C. s.n.c.,10.924109,44.646884,Caffè. Pasticceria. Infusi
extra17,lifestyle,0.3,Enoteca Caffetteria - di Lerna Cosimo,10.9288401,44.6435499,Degustazione e rivendita vini. Caffè. Degustazione enogastronomica
extra18,lifestyle,0.3,ARCHER,10.9269023,44.6477411,Degustazione e rivendita di eccellenze eno-alimentari. Vini e champagne; cioccolato; alto artigianato alimentare dolce e salato.
extra19,lifestyle,0.3,100 Montaditos Modena,10.9235909,44.6489824,Tapas. Birre e vino spagnoli; ristorazione rapida; aperitivi
extra20,lifestyle,0.3,Amore a Primo Naso di Laura Pesce,10.9296726,44.6457022,Selezione di eccellenze eno-alimentari; birre e vini artigianali; oggetti d’arte e design; book shop.
extra21,lifestyle,0.3,Bar Spritz di Biagio Lo Gerfo,10.9261152,44.648427,Caffè. Birra e vino
extra22,lifestyle,0.3,Caffè Farini di Serpico Rossella,10.9281749,44.6470008,Caffé.  Colazioni  aperitivi.
extra23,lifestyle,0.3,Birra Park,10.9238392,44.6496865,Birra e vino. Drink. Specialità cicchetti.
extra24,lifestyle,0.3,MiTomato - Gastronomia Lounge Bar di Balestrieri Giancarlo,10.9231232,44.6483805,Birre artigianali; bevande bio; cucina a km 0. Pranzo e cena; aperitivi. 
extra25,lifestyle,0.3,Dolce Charlotte - Trega s.r.l.,10.9277988,44.6478623,Caffé; prodotti da forno dolci e salati; infusi. 
extra26,lifestyle,0.3,Stile Libero - drink bar,10.9250774,44.6487279,
extra27,lifestyle,0.3,Handy Taylor,10.9331166,44.6437032,
extra28,lifestyle,0.3,Generi Alimentari Da Panino,10.9215363,44.6443817,
extra29,lifestyle,0.3,Caffè delle Fontane di ,10.6314073,44.6994389,
extra30,lifestyle,0.3,Caffetteria della Volta ,10.6281799,44.6995868,
extra31,lifestyle,0.3,Caffe' Europa ,10.7915611,44.7658104,
extra32,lifestyle,0.3,ARMANDO'S ,10.6298842,44.6971124,
extra33,lifestyle,0.3,Gelateria CUPIDO,10.6402557,44.6953072,
extra34,lifestyle,0.3,MARTA srl ,10.6364066,44.6963576,
extra35,lifestyle,0.3,Bar Caffetteria PIETRANERA ,10.6359307,44.6966323,
extra36,lifestyle,0.3,Pasticceria LIGABUE,10.6373947,44.696236,
extra37,lifestyle,0.3,BUBINO Bistrot GUAZZATOIO,10.6311826,44.694028,
extra38,lifestyle,0.3,Royal Cafè ,10.6288055,44.6980355,
extra39,lifestyle,0.3,Bar Ca' di pom,10.6343616,44.699186,
extra40,lifestyle,0.3,Gelateria K2 snc ,10.6293528,44.69851,
extra41,lifestyle,0.3,Pizzeria Mitica snc ,10.6296678,44.698561,
extra42,lifestyle,0.3,Tigelliamo ,10.6341312,44.699248,
extra43,lifestyle,0.3,Bar Pasticceria BONI ERIO & C ,10.6344475,44.699707,
